id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y,name,dataset_id
34237,220,A4_H,-78,10:17:55,3,0.5,Galaxy S24,0
34238,220,A4_V,-76,10:17:55,3,0.5,Galaxy S24,0
34239,220,A2_H,-86,10:17:55,3,0.5,Galaxy S24,0
34240,220,A2_V,-83,10:17:55,3,0.5,Galaxy S24,0
34241,220,A3_V,-83,10:17:55,3,0.5,Galaxy S24,0
34242,220,A1_H,-74,10:17:55,3,0.5,Galaxy S24,0
34243,220,A1_V,-74,10:17:55,3,0.5,Galaxy S24,0
34244,220,A3_H,-91,10:17:56,3,0.5,Galaxy S24,0
34245,221,A3_H,-90,10:18:28,3.5,0.5,Galaxy S24,0
34246,221,A2_H,-80,10:18:28,3.5,0.5,Galaxy S24,0
34247,221,A4_H,-79,10:18:29,3.5,0.5,Galaxy S24,0
34248,221,A1_H,-76,10:18:29,3.5,0.5,Galaxy S24,0
34249,221,A3_V,-76,10:18:29,3.5,0.5,Galaxy S24,0
34250,221,A4_V,-77,10:18:29,3.5,0.5,Galaxy S24,0
34251,221,A1_V,-71,10:18:29,3.5,0.5,Galaxy S24,0
34252,221,A2_V,-94,10:18:29,3.5,0.5,Galaxy S24,0
34253,222,A4_H,-78,10:19:19,4,0.5,Galaxy S24,0
34254,222,A2_H,-95,10:19:19,4,0.5,Galaxy S24,0
34255,222,A1_H,-69,10:19:19,4,0.5,Galaxy S24,0
34256,222,A4_V,-88,10:19:20,4,0.5,Galaxy S24,0
34257,222,A1_V,-82,10:19:20,4,0.5,Galaxy S24,0
34258,222,A2_V,-78,10:19:20,4,0.5,Galaxy S24,0
34259,222,A3_V,-74,10:19:20,4,0.5,Galaxy S24,0
34260,222,A3_H,-83,10:19:20,4,0.5,Galaxy S24,0
34261,223,A3_H,-74,10:19:52,4.5,0.5,Galaxy S24,0
34262,223,A1_H,-65,10:19:52,4.5,0.5,Galaxy S24,0
34263,223,A2_V,-80,10:19:52,4.5,0.5,Galaxy S24,0
34264,223,A4_V,-65,10:19:52,4.5,0.5,Galaxy S24,0
34265,223,A3_V,-76,10:19:52,4.5,0.5,Galaxy S24,0
34266,223,A1_V,-63,10:19:52,4.5,0.5,Galaxy S24,0
34267,223,A4_H,-73,10:19:52,4.5,0.5,Galaxy S24,0
34268,223,A2_H,-65,10:19:52,4.5,0.5,Galaxy S24,0
34269,224,A4_H,-68,10:20:18,5,0.5,Galaxy S24,0
34270,224,A1_H,-68,10:20:18,5,0.5,Galaxy S24,0
34271,224,A3_H,-91,10:20:18,5,0.5,Galaxy S24,0
34272,224,A1_V,-62,10:20:18,5,0.5,Galaxy S24,0
34273,224,A3_V,-80,10:20:19,5,0.5,Galaxy S24,0
34274,224,A2_H,-71,10:20:19,5,0.5,Galaxy S24,0
34275,224,A4_V,-79,10:20:19,5,0.5,Galaxy S24,0
34276,224,A2_V,-88,10:20:19,5,0.5,Galaxy S24,0
34277,225,A2_H,-72,10:21:04,5.5,0.5,Galaxy S24,0
34278,225,A1_H,-65,10:21:04,5.5,0.5,Galaxy S24,0
34279,225,A2_V,-76,10:21:04,5.5,0.5,Galaxy S24,0
34280,225,A1_V,-72,10:21:04,5.5,0.5,Galaxy S24,0
34281,225,A3_V,-80,10:21:04,5.5,0.5,Galaxy S24,0
34282,225,A4_H,-66,10:21:04,5.5,0.5,Galaxy S24,0
34283,225,A3_H,-79,10:21:04,5.5,0.5,Galaxy S24,0
34284,225,A4_V,-77,10:21:04,5.5,0.5,Galaxy S24,0
34285,226,A4_V,-80,10:23:10,6.5,0.5,Galaxy S24,0
34286,226,A4_H,-58,10:23:10,6.5,0.5,Galaxy S24,0
34287,226,A3_H,-81,10:23:10,6.5,0.5,Galaxy S24,0
34288,226,A2_H,-73,10:23:10,6.5,0.5,Galaxy S24,0
34289,226,A1_V,-62,10:23:11,6.5,0.5,Galaxy S24,0
34290,226,A1_H,-64,10:23:11,6.5,0.5,Galaxy S24,0
34291,226,A3_V,-75,10:23:11,6.5,0.5,Galaxy S24,0
34292,226,A2_V,-73,10:23:11,6.5,0.5,Galaxy S24,0
34293,227,A4_V,-64,10:23:41,7,0.5,Galaxy S24,0
34294,227,A1_V,-65,10:23:41,7,0.5,Galaxy S24,0
34295,227,A3_V,-83,10:23:42,7,0.5,Galaxy S24,0
34296,227,A4_H,-50,10:23:42,7,0.5,Galaxy S24,0
34297,227,A3_H,-76,10:23:42,7,0.5,Galaxy S24,0
34298,227,A2_V,-85,10:23:42,7,0.5,Galaxy S24,0
34299,227,A1_H,-64,10:23:42,7,0.5,Galaxy S24,0
34300,227,A2_H,-75,10:23:42,7,0.5,Galaxy S24,0
34301,228,A1_H,-87,10:24:10,7.5,0.5,Galaxy S24,0
34302,228,A3_H,-78,10:24:10,7.5,0.5,Galaxy S24,0
34303,228,A2_V,-87,10:24:10,7.5,0.5,Galaxy S24,0
34304,228,A4_H,-53,10:24:10,7.5,0.5,Galaxy S24,0
34305,228,A3_V,-71,10:24:10,7.5,0.5,Galaxy S24,0
34306,228,A2_H,-81,10:24:10,7.5,0.5,Galaxy S24,0
34307,228,A1_V,-67,10:24:11,7.5,0.5,Galaxy S24,0
34308,228,A4_V,-77,10:24:11,7.5,0.5,Galaxy S24,0
34309,229,A2_H,-71,10:25:06,0,1,Galaxy S24,0
34310,229,A4_V,-75,10:25:06,0,1,Galaxy S24,0
34311,229,A2_V,-82,10:25:06,0,1,Galaxy S24,0
34312,229,A3_V,-60,10:25:06,0,1,Galaxy S24,0
34313,229,A1_V,-74,10:25:06,0,1,Galaxy S24,0
34314,229,A1_H,-78,10:25:06,0,1,Galaxy S24,0
34315,229,A3_H,-59,10:25:06,0,1,Galaxy S24,0
34316,229,A4_H,-71,10:25:06,0,1,Galaxy S24,0
34317,230,A2_V,-69,10:25:43,0.5,1,Galaxy S24,0
34318,230,A3_H,-64,10:25:43,0.5,1,Galaxy S24,0
34319,230,A4_H,-76,10:25:43,0.5,1,Galaxy S24,0
34320,230,A1_H,-85,10:25:43,0.5,1,Galaxy S24,0
34321,230,A3_V,-55,10:25:43,0.5,1,Galaxy S24,0
34322,230,A4_V,-73,10:25:43,0.5,1,Galaxy S24,0
34323,230,A1_V,-72,10:25:43,0.5,1,Galaxy S24,0
34324,230,A2_H,-83,10:25:43,0.5,1,Galaxy S24,0
34325,231,A1_V,-73,10:26:11,1,1,Galaxy S24,0
34326,231,A4_V,-81,10:26:11,1,1,Galaxy S24,0
34327,231,A3_V,-73,10:26:11,1,1,Galaxy S24,0
34328,231,A2_H,-72,10:26:11,1,1,Galaxy S24,0
34329,231,A2_V,-76,10:26:11,1,1,Galaxy S24,0
34330,231,A1_H,-75,10:26:11,1,1,Galaxy S24,0
34331,231,A4_H,-74,10:26:11,1,1,Galaxy S24,0
34332,231,A3_H,-75,10:26:11,1,1,Galaxy S24,0
34333,232,A3_H,-67,10:26:45,1.5,1,Galaxy S24,0
34334,232,A3_V,-60,10:26:45,1.5,1,Galaxy S24,0
34335,232,A1_H,-74,10:26:45,1.5,1,Galaxy S24,0
34336,232,A2_H,-62,10:26:45,1.5,1,Galaxy S24,0
34337,232,A1_V,-65,10:26:45,1.5,1,Galaxy S24,0
34338,232,A2_V,-74,10:26:45,1.5,1,Galaxy S24,0
34339,232,A4_V,-77,10:26:45,1.5,1,Galaxy S24,0
34340,232,A4_H,-81,10:26:46,1.5,1,Galaxy S24,0
34341,233,A4_H,-72,10:27:27,2,1,Galaxy S24,0
34342,233,A1_V,-67,10:27:27,2,1,Galaxy S24,0
34343,233,A2_V,-79,10:27:27,2,1,Galaxy S24,0
34344,233,A2_H,-56,10:27:27,2,1,Galaxy S24,0
34345,233,A1_H,-78,10:27:27,2,1,Galaxy S24,0
34346,233,A4_V,-76,10:27:27,2,1,Galaxy S24,0
34347,233,A3_V,-71,10:27:27,2,1,Galaxy S24,0
34348,233,A3_H,-69,10:27:27,2,1,Galaxy S24,0
34349,234,A3_V,-69,10:28:06,2.5,1,Galaxy S24,0
34350,234,A4_H,-78,10:28:06,2.5,1,Galaxy S24,0
34351,234,A1_V,-64,10:28:06,2.5,1,Galaxy S24,0
34352,234,A1_H,-71,10:28:06,2.5,1,Galaxy S24,0
34353,234,A2_V,-77,10:28:06,2.5,1,Galaxy S24,0
34354,234,A4_V,-77,10:28:07,2.5,1,Galaxy S24,0
34355,234,A3_H,-75,10:28:07,2.5,1,Galaxy S24,0
34356,234,A2_H,-64,10:28:07,2.5,1,Galaxy S24,0
34357,235,A3_V,-79,10:28:34,3,1,Galaxy S24,0
34358,235,A3_H,-77,10:28:34,3,1,Galaxy S24,0
34359,235,A2_H,-69,10:28:34,3,1,Galaxy S24,0
34360,235,A1_H,-78,10:28:34,3,1,Galaxy S24,0
34361,235,A1_V,-75,10:28:34,3,1,Galaxy S24,0
34362,235,A4_H,-71,10:28:34,3,1,Galaxy S24,0
34363,235,A4_V,-80,10:28:34,3,1,Galaxy S24,0
34364,235,A2_V,-81,10:28:34,3,1,Galaxy S24,0
34365,236,A2_V,-82,10:29:03,3.5,1,Galaxy S24,0
34366,236,A4_H,-75,10:29:03,3.5,1,Galaxy S24,0
34367,236,A4_V,-78,10:29:03,3.5,1,Galaxy S24,0
34368,236,A3_H,-70,10:29:03,3.5,1,Galaxy S24,0
34369,236,A1_V,-74,10:29:03,3.5,1,Galaxy S24,0
34370,236,A3_V,-74,10:29:04,3.5,1,Galaxy S24,0
34371,236,A1_H,-78,10:29:04,3.5,1,Galaxy S24,0
34372,236,A2_H,-73,10:29:04,3.5,1,Galaxy S24,0
34373,237,A3_V,-79,10:29:33,4,1,Galaxy S24,0
34374,237,A2_V,-72,10:29:34,4,1,Galaxy S24,0
34375,237,A1_V,-83,10:29:34,4,1,Galaxy S24,0
34376,237,A4_H,-75,10:29:34,4,1,Galaxy S24,0
34377,237,A1_H,-68,10:29:34,4,1,Galaxy S24,0
34378,237,A4_V,-73,10:29:34,4,1,Galaxy S24,0
34379,237,A3_H,-75,10:29:34,4,1,Galaxy S24,0
34380,237,A2_H,-61,10:29:34,4,1,Galaxy S24,0
34381,238,A2_V,-72,10:30:02,4.5,1,Galaxy S24,0
34382,238,A1_V,-80,10:30:02,4.5,1,Galaxy S24,0
34383,238,A4_V,-78,10:30:02,4.5,1,Galaxy S24,0
34384,238,A4_H,-63,10:30:02,4.5,1,Galaxy S24,0
34385,238,A3_H,-87,10:30:02,4.5,1,Galaxy S24,0
34386,238,A3_V,-81,10:30:02,4.5,1,Galaxy S24,0
34387,238,A2_H,-61,10:30:02,4.5,1,Galaxy S24,0
34388,238,A1_H,-86,10:30:02,4.5,1,Galaxy S24,0
34389,239,A4_H,-62,10:30:28,5,1,Galaxy S24,0
34390,239,A1_H,-64,10:30:28,5,1,Galaxy S24,0
34391,239,A1_V,-67,10:30:28,5,1,Galaxy S24,0
34392,239,A3_H,-80,10:30:28,5,1,Galaxy S24,0
34393,239,A4_V,-73,10:30:28,5,1,Galaxy S24,0
34394,239,A2_V,-87,10:30:28,5,1,Galaxy S24,0
34395,239,A3_V,-72,10:30:28,5,1,Galaxy S24,0
34396,239,A2_H,-64,10:30:28,5,1,Galaxy S24,0
34397,240,A3_H,-92,10:30:58,5.5,1,Galaxy S24,0
34398,240,A2_V,-78,10:30:58,5.5,1,Galaxy S24,0
34399,240,A3_V,-76,10:30:58,5.5,1,Galaxy S24,0
34400,240,A1_H,-74,10:30:58,5.5,1,Galaxy S24,0
34401,240,A4_H,-60,10:30:58,5.5,1,Galaxy S24,0
34402,240,A1_V,-76,10:30:58,5.5,1,Galaxy S24,0
34403,240,A4_V,-74,10:30:58,5.5,1,Galaxy S24,0
34404,240,A2_H,-64,10:30:58,5.5,1,Galaxy S24,0
34405,241,A3_H,-78,10:31:35,6,1,Galaxy S24,0
34406,241,A4_V,-80,10:31:35,6,1,Galaxy S24,0
34407,241,A2_H,-61,10:31:35,6,1,Galaxy S24,0
34408,241,A1_H,-74,10:31:35,6,1,Galaxy S24,0
34409,241,A4_H,-65,10:31:36,6,1,Galaxy S24,0
34410,241,A3_V,-73,10:31:36,6,1,Galaxy S24,0
34411,241,A1_V,-65,10:31:36,6,1,Galaxy S24,0
34412,241,A2_V,-69,10:31:36,6,1,Galaxy S24,0
34413,242,A1_V,-74,10:32:03,6.5,1,Galaxy S24,0
34414,242,A1_H,-81,10:32:03,6.5,1,Galaxy S24,0
34415,242,A4_H,-63,10:32:03,6.5,1,Galaxy S24,0
34416,242,A3_V,-80,10:32:03,6.5,1,Galaxy S24,0
34417,242,A3_H,-80,10:32:03,6.5,1,Galaxy S24,0
34418,242,A2_V,-72,10:32:03,6.5,1,Galaxy S24,0
34419,242,A4_V,-70,10:32:03,6.5,1,Galaxy S24,0
