id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y,name,timestamp_2byte
34231,219,A4_V,-89,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34232,219,A2_H,-77,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34233,219,A3_V,-76,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34234,219,A1_H,-77,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34235,219,A3_H,-83,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34236,219,A4_H,-81,2025-08-07 10:17:26,2.5,0.5,Galaxy S24,32054
34237,220,A4_H,-78,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34238,220,A4_V,-76,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34239,220,A2_H,-86,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34240,220,A2_V,-83,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34241,220,A3_V,-83,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34242,220,A1_H,-74,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34243,220,A1_V,-74,2025-08-07 10:17:55,3.0,0.5,Galaxy S24,32083
34244,220,A3_H,-91,2025-08-07 10:17:56,3.0,0.5,Galaxy S24,32084
34245,221,A3_H,-90,2025-08-07 10:18:28,3.5,0.5,Galaxy S24,32116
34246,221,A2_H,-80,2025-08-07 10:18:28,3.5,0.5,Galaxy S24,32116
34247,221,A4_H,-79,2025-08-07 10:18:29,3.5,0.5,Galaxy S24,32117
34248,221,A1_H,-76,2025-08-07 10:18:29,3.5,0.5,Galaxy S24,32117
34249,221,A3_V,-76,2025-08-07 10:18:29,3.5,0.5,Galaxy S24,32117
34250,221,A4_V,-77,2025-08-07 10:18:29,3.5,0.5,Galaxy S24,32117
34251,221,A1_V,-71,2025-08-07 10:18:29,3.5,0.5,Galaxy S24,32117
